,skills_clean,education,experience_years,job_role
1310,"('safety', 'wireframing', 'welding', 'precision', 'physical stamina', 'machine learning', 'android', 'technical knowledge', 'problem solving')",Welding Certification,2,Welder
1311,"('ansible', 'product strategy', 'graphic design', 'vue.js', 'agile', 'communication', 'angular', 'responsive design', 'business acumen', 'leadership', 'backlog management')",Bachelor's in Business,5,Product Owner
1312,"('testing', 'numpy', 'vehicle systems', 'problem solving', 'cad', 'thermal systems', 'materials', 'flutter', 'negotiation', 'typescript')",Bachelor's in Automotive Engineering,4,Automotive Engineer
1313,"('spring boot', 'sql', 'rest api', 'java', 'financial analysis', 'mentoring', 'maven', 'kanban', 'microservices')",Bachelor's in Computer Science,5,Java Backend Developer
1314,"('web design', 'database design', 'communication', 'conservation', 'problem solving', 'environmental knowledge', 'power bi', 'outdoor skills', 'shell scripting', 'public safety', 'security architecture')",Bachelor's in Environmental Science,1,Park Ranger
1315,"('problem solving', 'rest api', 'sap', 'enterprise systems', 'penetration testing', 'abap', 'configuration', 'sql')",Bachelor's in IT,2,SAP Developer
1316,"('graphic design', 'security systems', 'typescript', 'incident response', 'business development', 'vulnerability assessment', 'log analysis', 'presentation skills', 'adaptability', 'risk assessment', 'threat analysis')",Bachelor's in Cybersecurity,3,Cybersecurity Analyst
1317,"('enterprise systems', 'sql', 'sap', 'configuration', 'python', 'tableau', 'abap', 'angular', 'problem solving', 'mentoring', 'prototyping')",Bachelor's in IT,3,SAP Developer
1318,"('php', 'plugin development', 'strategic planning', 'adobe creative suite', 'wordpress', 'css', 'javascript', 'mysql', 'theme development')",High School,1,WordPress Developer
1319,"('attention to detail', 'precision', 'user experience', 'safety', 'technical knowledge', 'cnc machines', 'pytorch', 'problem solving')",Trade School,5,CNC Machinist
1320,"('php', 'module development', 'mysql', 'scrum', 'javascript', 'ios', 'drupal', 'shell scripting', 'agile', 'theme development', 'docker')",Bachelor's in Computer Science,5,Drupal Developer
1321,"('rust', 'go', 'type system', 'javascript', 'haskell', 'concurrency', 'kotlin', 'lambda calculus', 'css', 'functional programming', 'problem solving')",Bachelor's in Computer Science,3,Haskell Developer
1322,"('cloudformation', 'functional programming', 'prototyping', 'problem solving', 'scala', 'sql', 'big data', 'rest api', 'time management', 'apache spark')",Bachelor's in Computer Science,3,Scala Developer
1323,"('jenkins', 'microservices', 'figma', 'user experience', 'creativity', 'flutter', 'responsive design', 'design tools', 'web design', 'html/css')",Web Design Certification,1,Web Designer
1324,"('prototyping', 'budget management', 'communication', 'professionalism', 'cloudformation', 'public speaking', 'node.js', 'quick thinking', 'voice skills', 'kotlin', 'pronunciation')",High School,4,Announcer
1325,"('app testing', 'budget management', 'brand strategy', 'adobe creative suite', 'machine learning', 'analytics', 'campaign management', 'leadership', 'communication')",Bachelor's in Business,2,Marketing Manager
1326,"('javascript', 'problem solving', 'mysql', 'data analysis', 'e-commerce', 'security architecture', 'python', 'php', 'magento')",Bachelor's in Computer Science,2,Magento Developer
1327,"('mentoring', 'agile', 'documentation', 'communication', 'change control', 'project management', 'problem solving', 'graphql', 'release management', 'figma')",Bachelor's in IT,5,Release Manager
1328,"('penetration testing', 'organization', 'problem solving', 'documentation', 'communication', 'technical writing', 'app testing', 'api documentation')",Bachelor's in English,0,Technical Writer
1329,"('vision', 'community relations', 'leadership', 'deep learning', 'graphic design', 'budgeting', 'educational leadership', 'staff management', 'management')",Administrative Certificate,8,School Principal
1330,"('technical writing', 'team leadership', 'timeline management', 'communication', 'project management', 'risk management', 'business acumen', 'budget control')",Bachelor's in Project Management,3,Project Manager
1331,"('organization', 'content editing', 'mobile security', 'management', 'writing', 'power bi', 'nosql', 'sql', 'attention to detail', 'communication')",Bachelor's in English,4,Editor
1332,"('scikit-learn', 'php', 'subject matter expertise', 'wireframing', 'teaching', 'publication', 'pytorch', 'communication', 'research', 'scala', 'mentoring')",Master's or PhD in subject area,4,College Professor
1333,"('react', 'shell scripting', 'gcp', 'coaching', 'project management', 'ios', 'training design', 'e-learning', 'curriculum development', 'seo', 'leadership')",Bachelor's in HR,7,Learning & Development Manager
1334,"('redis', 'scalability', 'mysql', 'performance optimization', 'data structures', 'pub/sub', 'figma', 'caching', 'market research', 'seo', 'network security')",Bachelor's in Computer Science,4,Redis Developer
1335,"('market research', 'recipe development', 'culinary skills', 'food safety', 'kitchen management', 'leadership', 'rest api', 'creativity')",Culinary School,6,Head Chef
1336,"('ruby', 'communication', 'public safety', 'conservation', 'outdoor skills', 'environmental knowledge', 'marketing', 'problem solving')",Bachelor's in Environmental Science,4,Park Ranger
1337,"('database design', 'power bi', 'etl', 'data visualization', 'gcp', 'django', 'sql', 'pytorch', 'tableau', 'mobile ui/ux')",Bachelor's in IT,3,BI Developer
1338,"('communication', 'solution design', 'cloudformation', 'seo', 'node.js', 'business acumen', 'leadership', 'system architecture', 'technical expertise', 'graphql', 'php')",Master's in Computer Science,4,Solution Architect
1339,"('risk assessment', 'terraform', 'regulatory knowledge', 'safety', 'problem solving', 'deep learning', 'leadership', 'electrical systems', 'management')",Bachelor's in Electrical Engineering,4,Electrical Utilities Manager
1340,"('mobile security', 'budget management', 'mongodb', 'campaign management', 'leadership', 'swift', 'communication', 'analytics', 'mobile ui/ux', 'brand strategy', 'aws')",Bachelor's in Business,5,Marketing Manager
1341,"('java', 'docker', 'rest api', 'web accessibility', 'time management', 'spring boot', 'microservices', 'maven', 'sql')",Bachelor's in Computer Science,5,Java Backend Developer
1342,"('financial analysis', 'management', 'documentation', 'sales', 'customer service', 'r', 'communication', 'rust', 'css', 'fitness industry knowledge', 'leadership')",Associate in Fitness Management,1,Fitness Manager
1343,"('power systems', 'troubleshooting', 'network security', 'problem solving', 'cad', 'technical knowledge', 'electrical systems', 'data analysis', 'circuit design')",Bachelor's in Electrical Engineering,3,Electrical Engineer
1344,"('financial analysis', 'problem solving', 'process improvement', 'data analysis', 'business analysis', 'jira', 'c++', 'communication', 'css', 'project management')",MBA,5,Business Consultant
1345,"('social media', 'cassandra', 'communication', 'content creation', 'video production', 'security architecture', 'technical skills', 'creativity', 'javascript')",Digital Media Skills,3,Content Creator
1346,"('communication', 'adobe creative suite', 'training program development', 'cloudformation', 'django', 'assessment', 'instructional design', 'microservices', 'presentation', 'elearning')",Bachelor's in HR,2,Training Specialist
1347,"('erp systems', 'configuration', 'tableau', 'problem solving', 'flask', 'pl/sql', 'seo', 'sql', 'oracle apps', 'communication')",Oracle Certification,3,Oracle Applications Developer
1348,"('inventory control', 'sql', 'typescript', 'organization', 'staff management', 'problem solving', 'presentation skills', 'c++', 'flutter', 'safety', 'warehouse management')",High School with experience,5,Warehouse Manager
1349,"('problem solving', 'exhibition design', 'technical skills', 'ruby', 'creativity', 'project management', 'market research', 'documentation', 'communication')",Bachelor's in Design,2,Exhibition Designer
1350,"('java', 'serverless', 'rest api', 'statistics', 'mobile design', 'go', 'xml', 'kotlin', 'technical writing', 'figma', 'android sdk')",Bachelor's in Computer Science,5,Mobile Developer Android
1351,"('python', 'r', 'academic writing', 'security architecture', 'strategic planning', 'problem solving', 'statistical analysis', 'scikit-learn', 'research', 'react native', 'penetration testing')",PhD,1,Academic Data Analyst
1352,"('signal processing', 'matlab', 'problem solving', 'mathematics', 'numerical analysis', 'power bi', 'simulink', 'web design', 'azure')",Bachelor's in Engineering,3,MATLAB Developer
1353,"('agile', 'android', 'non-profit leadership', 'communication', 'strategic planning', 'perl', 'fundraising', 'budget management', 'ci/cd', 'vision')",Master's in Business,6,Non-profit Director
1354,"('inventory control', 'customer service', 'problem solving', 'staff leadership', 'nosql', 'budget management', 'sales management', 'cash handling')",High School,5,Retail Manager
1355,"('pandas', 'clinical skills', 'critical thinking', 'communication', 'medical records', 'scrum', 'nursing care', 'patient monitoring')",RN License,1,Registered Nurse
1356,"('executive communication', 'vision', 'agile', 'flask', 'strategic leadership', 'market intelligence', 'digital transformation', 'brand management')",MBA,10,CMO
1357,"('platform knowledge', 'encryption', 'agile', 'content creation', 'community management', 'analytics', 'social media strategy', 'copywriting')",Bachelor's in Communications,4,Social Media Manager
1358,"('ci/cd', 'communication', 'decision making', 'data analysis', 'report writing', 'terraform', 'research methodology', 'teamwork', 'problem solving', 'presentation skills', 'user research')",Master's in Research,1,Product Researcher
1359,"('troubleshooting', 'data analysis', 'css', 'critical thinking', 'problem solving', 'equipment', 'swift', 'redis', 'technical knowledge', 'hvac systems', 'safety')",HVAC Certification,2,HVAC Technician
1360,"('analytics', 'tableau', 'dashboard design', 'communication', 'data visualization', 'sql', 'scrum', 'negotiation')",Tableau Certification,0,Tableau Specialist
1361,"('leadership', 'customer service', 'firewalls', 'budget control', 'staff management', 'perl', 'user experience', 'postgresql', 'communication', 'hotel management')",Bachelor's in Hospitality Management,5,Hotel Manager
1362,"('physics', 'technical documentation', 'mechanical design', 'serverless', 'technical writing', 'problem solving', 'database design', 'thermodynamics', 'cad', 'marketing')",Bachelor's in Mechanical Engineering,4,Mechanical Engineer
1363,"('communication', 'sales', 'customer service', 'teamwork', 'scikit-learn', 'problem solving', 'product knowledge', 'ci/cd')",High School,0,Sales Associate
1364,"('inventory control', 'adobe creative suite', 'customer service', 'negotiation', 'problem solving', 'sales management', 'web accessibility', 'staff leadership', 'cash handling', 'leadership')",High School,2,Retail Manager
1365,"('precision', 'hand tools', 'safety', 'leadership', 'problem solving', 'carpentry', 'technical skills', 'rest api')",Trade School,4,Carpenter
1366,"('technical knowledge', 'plumbing systems', 'customer service', 'problem solving', 'pandas', 'code knowledge', 'adobe creative suite', 'web design', 'safety', 'scrum', 'prototyping')",Trade School,2,Plumber
1367,"('concurrency', 'lambda calculus', 'tensorflow', 'type system', 'functional programming', 'haskell', 'javascript', 'problem solving')",Bachelor's in Computer Science,1,Haskell Developer
1368,"('teamwork', 'speed', 'web accessibility', 'perl', 'node.js', 'accuracy', 'kitchen skills', 'cooking', 'food safety')",Culinary School,3,Line Cook
1369,"('marketing', 'market research', 'redis', 'problem solving', 'physics', 'agile', 'mechanical design', 'cad', 'technical documentation', 'thermodynamics', 'mobile security')",Bachelor's in Mechanical Engineering,4,Mechanical Engineer
1370,"('database design', 'budget management', 'ruby', 'strategic planning', 'communication', 'negotiation', 'public administration', 'leadership', 'policy knowledge')",MPA,1,Public Administrator
